"","credit.rating","account.balance","credit.duration.months","previous.credit.payment.status","credit.purpose","credit.amount","savings","employment.duration","installment.rate","marital.status","guarantor","residence.duration","current.assets","age","other.credits","apartment.type","bank.credits","occupation","dependents","telephone","foreign.worker"
"1","1","1",-0.240736766567997,"3","2",-0.787262993357287,"1","1","4","1","1","4","2",-1.28093213590331,"2","1","1","3","1","1","1"
"2","1","1",-0.987078791752969,"3","4",-0.167300577652446,"1","2","2","3","1","2","1",0.0403429320756233,"2","1","2","3","2","1","1"
"3","1","2",-0.738298116691312,"2","4",-0.860949954766777,"2","3","2","1","1","4","1",-1.10476212683945,"2","1","1","2","1","1","1"
"4","1","1",-0.738298116691312,"3","4",-0.407137466470833,"1","2","3","3","1","2","1",0.30459794567141,"2","1","2","2","2","1","2"
"5","1","1",-0.738298116691312,"3","4",-0.389778518831097,"1","2","4","3","1","4","2",0.216512941139481,"1","2","2","2","1","1","2"
"6","1","1",-0.90415190006575,"3","4",-0.364980022202904,"1","1","1","3","1","3","1",1.09736298645877,"2","1","2","2","2","1","2"
"7","1","1",-1.07000568344019,"3","4",0.0449037006373829,"1","3","1","3","1","4","1",0.30459794567141,"2","2","2","2","1","1","2"
"8","1","1",-1.23585946681463,"3","4",-0.676732551243052,"1","1","2","3","1","4","1",0.392682950203339,"2","2","1","2","2","1","2"
"9","1","3",-0.240736766567997,"3","3",-0.769904045717551,"1","1","4","1","1","4","3",2.59480806350156,"2","2","2","1","1","1","1"
"10","1","2",0.256824583555318,"2","3",0.172438826153807,"3","1","1","1","1","4","4",-1.10476212683945,"2","1","1","1","1","1","1"
"11","1","1",-0.821225008378531,"3","4",0.224515669073014,"1","2","2","3","1","2","1",0.0403429320756233,"2","1","2","3","2","1","1"
"12","1","1",0.754385933678632,"3","1",1.03294665915213,"2","3","1","4","1","4","3",-1.01667712230752,"2","1","2","3","1","1","1"
"13","1","1",-1.23585946681463,"3","3",-0.465591065665861,"1","3","1","1","1","4","3",-0.400082090584021,"2","2","1","3","1","1","1"
"14","1","2",2.24706998404858,"3","4",1.52714527052827,"2","1","2","3","1","4","4",-0.400082090584021,"2","2","1","4","1","2","1"
"15","1","1",-0.240736766567997,"2","3",-0.473030614654319,"4","3","2","4","1","4","3",-1.10476212683945,"2","1","2","2","1","1","1"
"16","1","1",-1.23585946681463,"2","3",-0.22114874175938,"3","2","2","3","1","3","1",0.745022968331054,"2","1","1","3","2","1","1"
"17","1","1",-0.821225008378531,"3","4",0.236560653149565,"1","2","1","3","1","2","1",0.392682950203339,"2","2","2","2","2","1","1"
"18","1","2",-0.240736766567997,"2","3",-0.0206351833085575,"3","1","1","4","1","3","1",-0.928592117775594,"2","1","1","3","1","1","1"
"19","1","2",1.25194728380195,"3","3",-0.330970655398524,"1","4","4","3","1","4","1",0.0403429320756233,"2","2","1","3","1","1","1"
"20","1","3",-0.821225008378531,"3","4",1.40173573043712,"1","2","1","3","1","4","2",0.30459794567141,"2","2","2","2","1","1","1"
"21","1","1",-1.23585946681463,"3","4",0.143389158675066,"1","2","1","3","1","3","1",0.128427936607552,"2","1","2","3","2","1","1"
"22","1","2",-0.738298116691312,"3","4",-0.052164700450118,"1","1","1","3","1","3","1",1.1854479909907,"1","2","2","2","2","1","1"
"23","0","2",1.25194728380195,"2","3",-0.314320236233879,"1","1","4","3","1","1","4",-0.223912081520163,"2","1","1","2","1","1","1"
"24","1","2",-0.738298116691312,"3","3",-0.654413904277678,"1","3","4","3","1","3","2",-0.840507113243665,"2","2","1","3","1","1","1"
"25","1","1",-1.23585946681463,"3","4",0.511823965722515,"4","1","1","3","1","3","1",0.745022968331054,"2","2","2","2","2","1","1"
"26","1","2",-0.821225008378531,"3","3",0.531308498787524,"1","3","2","3","1","4","2",1.36161800005456,"2","2","1","3","1","1","1"
"27","1","1",-0.738298116691312,"2","2",-0.927905895662899,"1","4","4","1","1","4","2",-1.01667712230752,"2","1","1","3","1","1","1"
"28","1","2",-0.987078791752969,"3","3",-0.750065248414996,"1","4","2","3","1","4","1",0.128427936607552,"2","2","2","2","1","1","1"
"29","1","3",-0.489517441629654,"2","4",0.100877450169591,"4","2","3","3","1","2","4",-0.576252099647879,"2","2","1","3","1","1","1"
"30","1","3",1.74950863392526,"3","1",0.540165104726165,"1","4","4","3","1","4","4",1.8020430227142,"2","3","1","3","1","1","1"
"31","1","3",0.754385933678632,"3","3",-0.0900709738674997,"1","4","4","3","1","4","2",1.00927798192684,"2","2","1","3","1","1","1"
"32","1","3",1.25194728380195,"3","4",0.0934379011811333,"1","3","4","3","1","4","3",0.128427936607552,"2","2","2","3","1","2","1"
"33","1","3",1.25194728380195,"3","4",1.18421748858411,"1","4","4","3","1","4","3",-0.135827076988234,"2","2","2","4","1","2","1"
"34","1","3",0.256824583555318,"2","3",-0.671418587679868,"3","3","4","1","1","1","3",-0.664337104179808,"2","2","1","3","1","1","1"
"35","1","1",-0.489517441629654,"2","4",-0.549197425726628,"1","1","2","3","1","3","1",0.0403429320756233,"2","2","1","3","1","1","1"
"36","1","1",-1.23585946681463,"3","4",-0.85421893425341,"1","4","1","1","1","4","4",0.30459794567141,"2","2","2","3","1","2","1"
"37","1","3",-0.738298116691312,"3","4",-0.629261143411939,"1","4","4","3","1","1","1",0.216512941139481,"2","2","2","2","2","1","1"
"38","1","3",-0.738298116691312,"3","3",-0.47373914312941,"1","4","2","3","1","2","4",-0.840507113243665,"2","2","2","3","1","1","1"
"39","1","3",-0.240736766567997,"2","1",0.0378184158864704,"4","2","2","3","1","1","2",-0.400082090584021,"2","2","1","3","1","2","1"
"40","1","3",0.256824583555318,"3","1",0.211407892283826,"1","4","4","1","1","2","3",0.480767954735268,"2","1","2","4","1","2","1"
"41","1","3",-0.738298116691312,"3","3",-0.806038997947205,"4","3","4","1","1","4","1",-1.10476212683945,"2","2","2","3","1","1","1"
"42","1","1",0.256824583555318,"2","4",-0.537152441650077,"1","4","4","1","2","4","1",1.97821303177806,"2","2","1","2","1","2","1"
"43","1","3",-0.240736766567997,"3","4",-0.794702542345745,"1","2","4","1","1","3","1",0.0403429320756233,"2","2","2","3","1","1","1"
"44","1","2",0.256824583555318,"3","4",-0.158089707476259,"4","3","4","3","1","3","4",-0.135827076988234,"2","2","2","3","2","2","1"
"45","1","2",-0.240736766567997,"2","3",-0.719952788223619,"4","2","4","3","1","4","4",2.24246804537384,"2","3","1","3","1","1","1"
"46","0","1",-0.240736766567997,"2","4",-0.728100865687168,"1","1","4","1","1","3","3",-1.10476212683945,"2","1","1","3","1","2","1"
"47","1","3",0.256824583555318,"2","4",-0.713221767710252,"1","3","4","3","1","1","1",-0.928592117775594,"2","2","1","3","1","2","1"
"48","0","3",-0.240736766567997,"3","3",-0.498537639757604,"2","2","4","1","1","2","1",-0.48816709511595,"2","2","2","3","1","1","1"
